user_id,track_slug,subscription_date
99595,Spoken_eng_hindi,17-06-2021
100171,kerala-psc,17-06-2021
101988,kerala-psc,17-06-2021
101988,KPSC_Driver,17-06-2021
102410,Spoken_eng_hindi,17-06-2021
102498,spoken-english,17-06-2021
103374,kerala-psc,17-06-2021
103915,Anb_eng,17-06-2021
104394,Spoken_eng_hindi,17-06-2021
104609,HCA_Kerala,17-07-2021
104609,Spoken_eng_hindi,17-06-2021
104609,Police_Exams_Special,14-07-2021
104666,Civil_Tech,17-06-2021
104979,kerala-psc,17-06-2021
104979,OP_KWA,18-06-2021
105225,Spoken_eng_hindi,17-06-2021
105297,Spoken_eng_hindi,17-06-2021
105377,kerala-psc,20-06-2021
105377,Staff_Nurse,17-06-2021
106048,kerala-psc,17-06-2021
106343,BANK-INS,17-06-2021
106394,Quant_Easy,17-06-2021
106598,Spoken_eng_hindi,17-06-2021
106598,DSSSB,19-06-2021
106598,ssc,18-06-2021
106711,TNPSC,18-06-2021
106963,Spoken_eng_hindi,18-06-2021
108107,TNPSC,18-06-2021
108107,Apti_ess,18-06-2021
108778,BANK-INS,18-06-2021
108778,ssc,18-06-2021
108923,kerala-psc,18-06-2021
110434,Spoken_eng_hindi,18-06-2021
110586,Spoken_eng_hindi,18-06-2021
110896,spoken-english,18-06-2021
111537,kerala-psc,18-06-2021
111537,Civil_Tech,18-06-2021
111537,Mech_Tech,02-07-2021
111721,Spoken_eng_hindi,18-06-2021
111721,Apti_ess,20-06-2021
111765,PCB_Tech,28-06-2021
111765,spoken-english,23-06-2021
111765,BANK-INS,28-06-2021
111765,kerala-psc,18-06-2021
111765,OP_KWA,28-06-2021
111765,MPGOVT,12-07-2021
111765,VIDEO-TEST,23-06-2021
111765,KPSC_Driver,22-06-2021
111765,EEE,28-06-2021
111765,ENTRI_GOLD,02-07-2021
111765,Stock_mar,12-07-2021
111765,Computer_Tech,28-06-2021
111765,GATE_Civil,28-06-2021
111765,Civil_Tech,28-06-2021
111765,GATE_Electronics,28-06-2021
111765,GATE_Mechanical,28-06-2021
111765,Staff_Nurse,28-06-2021
111765,Digi_Mark,28-06-2021
111765,Mech_Tech,28-06-2021
111765,GATE-Electrical,28-06-2021
111765,UPGOVT,19-07-2021
111765,Eng_Inver_Coc,28-06-2021
111765,K_HSA,28-06-2021
111765,Kerala_AS,28-06-2021
111765,KTET,28-06-2021
111765,rrb,25-06-2021
111765,EC_Tech,28-06-2021
111765,Video- Test 2,28-06-2021
111765,Apti_ess,28-06-2021
111765,NET,28-06-2021
111765,ssc,23-06-2021
111882,K_HSA,18-06-2021
111952,kerala-psc,18-06-2021
112250,MPGOVT,18-06-2021
112250,Spoken_eng_hindi,18-06-2021
113055,kerala-psc,22-06-2021
113055,OP_KWA,05-07-2021
113055,EEE,18-06-2021
113340,Spoken_eng_hindi,18-06-2021
113340,ssc,18-06-2021
114837,Spoken_eng_hindi,18-06-2021
115622,Anb_eng,19-06-2021
115705,ssc,19-06-2021
116092,Spoken_eng_hindi,19-06-2021
117520,Spoken_eng_hindi,19-06-2021
