user_uid,date_joined,date_of_first_purhcase
174794,29-06-2021,05-07-2021
175103,29-06-2021,29-06-2021
175229,29-06-2021,28-06-2021
175451,29-06-2021,29-06-2021
175816,29-06-2021,29-06-2021
175823,29-06-2021,29-06-2021
176025,29-06-2021,28-06-2021
176077,29-06-2021,01-07-2021
176107,29-06-2021,29-06-2021
176171,29-06-2021,28-06-2021
176293,29-06-2021,29-06-2021
176576,29-06-2021,
176623,29-06-2021,29-06-2021
176848,30-06-2021,29-06-2021
176926,30-06-2021,28-06-2021
177328,30-06-2021,
177351,30-06-2021,05-07-2021
177795,30-06-2021,30-06-2021
178088,30-06-2021,30-06-2021
178176,30-06-2021,29-06-2021
178208,30-06-2021,30-06-2021
178241,30-06-2021,07-07-2021
178629,30-06-2021,
179089,01-07-2021,
179987,01-07-2021,03-07-2021
180229,01-07-2021,
180992,01-07-2021,
181178,01-07-2021,01-07-2021
181441,01-07-2021,30-06-2021
181788,01-07-2021,30-06-2021
182010,01-07-2021,04-07-2021
182268,01-07-2021,
182544,01-07-2021,06-07-2021
182587,01-07-2021,02-07-2021
182836,01-07-2021,01-07-2021
182960,01-07-2021,01-07-2021
183030,01-07-2021,01-07-2021
183157,01-07-2021,02-07-2021
183234,01-07-2021,04-07-2021
183640,01-07-2021,
185252,02-07-2021,
185364,02-07-2021,
185830,02-07-2021,
186037,02-07-2021,
186100,02-07-2021,
186523,02-07-2021,
186964,02-07-2021,
187071,02-07-2021,
188027,02-07-2021,
188393,02-07-2021,02-07-2021
188711,02-07-2021,20-07-2021
188965,02-07-2021,02-07-2021
189279,02-07-2021,
189736,02-07-2021,
189738,02-07-2021,03-07-2021
189925,02-07-2021,
190166,02-07-2021,
190290,02-07-2021,
190648,02-07-2021,
190771,02-07-2021,02-07-2021
191761,03-07-2021,03-07-2021
191794,03-07-2021,02-07-2021
193247,03-07-2021,
193673,03-07-2021,03-07-2021
194632,03-07-2021,06-07-2021
194975,03-07-2021,01-07-2021
196300,03-07-2021,04-07-2021
196414,03-07-2021,
196684,03-07-2021,06-07-2021
197487,03-07-2021,
197962,03-07-2021,
198631,03-07-2021,
199006,03-07-2021,
199102,04-07-2021,
200109,04-07-2021,03-07-2021
200399,04-07-2021,
200545,04-07-2021,
200700,04-07-2021,
200739,04-07-2021,04-07-2021
201027,04-07-2021,
201210,04-07-2021,03-07-2021
201466,04-07-2021,
201481,04-07-2021,06-07-2021
201710,04-07-2021,04-07-2021
202153,04-07-2021,
202419,04-07-2021,04-07-2021
202984,04-07-2021,07-07-2021
203281,04-07-2021,
203696,04-07-2021,
204454,04-07-2021,05-07-2021
204540,04-07-2021,27-07-2021
205241,04-07-2021,04-07-2021
205307,04-07-2021,
205469,04-07-2021,19-07-2021
205592,04-07-2021,04-07-2021
206274,04-07-2021,04-07-2021
206455,04-07-2021,
207226,05-07-2021,09-07-2021
207858,05-07-2021,
208450,05-07-2021,05-07-2021
208495,05-07-2021,04-07-2021
209843,05-07-2021,05-07-2021
210661,05-07-2021,11-07-2021
210665,05-07-2021,04-07-2021
210984,05-07-2021,05-07-2021
211158,05-07-2021,
211382,05-07-2021,
212260,05-07-2021,07-07-2021
212469,05-07-2021,
212626,05-07-2021,
213215,05-07-2021,05-07-2021
213951,05-07-2021,
214568,05-07-2021,05-07-2021
215322,05-07-2021,
216546,06-07-2021,16-07-2021
216806,06-07-2021,11-07-2021
218163,06-07-2021,
218193,06-07-2021,06-07-2021
219331,06-07-2021,07-07-2021
219363,06-07-2021,08-07-2021
219527,06-07-2021,06-07-2021
219786,06-07-2021,13-07-2021
220264,06-07-2021,05-07-2021
220901,06-07-2021,
221015,06-07-2021,
221031,06-07-2021,
221100,06-07-2021,06-07-2021
222434,06-07-2021,
225181,07-07-2021,
225278,07-07-2021,
225573,07-07-2021,
226404,07-07-2021,07-07-2021
228010,07-07-2021,18-07-2021
228147,07-07-2021,07-07-2021
228724,07-07-2021,
228826,07-07-2021,
229717,07-07-2021,
229734,07-07-2021,07-07-2021
230389,07-07-2021,08-07-2021
230648,07-07-2021,08-07-2021
230701,07-07-2021,
231000,07-07-2021,07-07-2021
231355,07-07-2021,07-07-2021
231381,07-07-2021,31-07-2021
231984,07-07-2021,25-07-2021
232285,07-07-2021,
232422,07-07-2021,06-07-2021
232850,07-07-2021,
232957,07-07-2021,
233588,07-07-2021,08-07-2021
233800,08-07-2021,07-07-2021
234012,08-07-2021,08-07-2021
234419,08-07-2021,
235498,08-07-2021,20-07-2021
235748,08-07-2021,08-07-2021
236083,08-07-2021,
236234,08-07-2021,
236920,08-07-2021,
238338,08-07-2021,
238364,08-07-2021,09-07-2021
238685,08-07-2021,08-07-2021
238854,08-07-2021,
239784,08-07-2021,07-07-2021
239790,08-07-2021,08-07-2021
239893,08-07-2021,
241655,08-07-2021,08-07-2021
241728,08-07-2021,08-07-2021
241906,08-07-2021,
241984,08-07-2021,16-07-2021
243084,09-07-2021,
243126,09-07-2021,16-07-2021
243862,09-07-2021,15-07-2021
244139,09-07-2021,
244599,09-07-2021,31-07-2021
244791,09-07-2021,
244833,09-07-2021,
245454,09-07-2021,
245762,09-07-2021,
247742,09-07-2021,
247822,09-07-2021,
248413,09-07-2021,09-07-2021
248882,09-07-2021,
249636,09-07-2021,
250611,10-07-2021,
250723,10-07-2021,
250998,10-07-2021,
251304,10-07-2021,13-07-2021
251459,10-07-2021,
251500,10-07-2021,11-07-2021
251920,10-07-2021,10-07-2021
252181,10-07-2021,
252799,10-07-2021,
253202,10-07-2021,10-07-2021
254019,10-07-2021,
254343,10-07-2021,09-07-2021
255162,10-07-2021,
256570,10-07-2021,10-07-2021
257245,10-07-2021,
257246,10-07-2021,
257692,10-07-2021,09-07-2021
258125,10-07-2021,
258726,10-07-2021,11-07-2021
259160,11-07-2021,16-07-2021
260014,11-07-2021,09-07-2021
260531,11-07-2021,14-07-2021
261149,11-07-2021,
261515,11-07-2021,
262154,11-07-2021,12-07-2021
262173,11-07-2021,
262932,11-07-2021,11-07-2021
263307,11-07-2021,10-07-2021
263864,11-07-2021,
264952,11-07-2021,
265007,11-07-2021,10-07-2021
265033,11-07-2021,25-07-2021
265188,11-07-2021,11-07-2021
265860,11-07-2021,
265984,11-07-2021,
266342,11-07-2021,12-07-2021
266985,11-07-2021,
267252,11-07-2021,11-07-2021
267883,12-07-2021,
268182,12-07-2021,12-07-2021
268248,12-07-2021,12-07-2021
268343,12-07-2021,
269402,12-07-2021,13-07-2021
269408,12-07-2021,
269678,12-07-2021,
270260,12-07-2021,
270846,12-07-2021,
270898,12-07-2021,
271316,12-07-2021,21-07-2021
271461,12-07-2021,
271566,12-07-2021,13-07-2021
271953,12-07-2021,21-07-2021
272060,12-07-2021,11-07-2021
272521,12-07-2021,11-07-2021
273193,12-07-2021,20-07-2021
273814,12-07-2021,12-07-2021
273948,12-07-2021,
274156,12-07-2021,
274202,12-07-2021,12-07-2021
274229,12-07-2021,
275658,12-07-2021,13-07-2021
276009,13-07-2021,26-07-2021
276080,13-07-2021,25-07-2021
276383,13-07-2021,
276967,13-07-2021,
277267,13-07-2021,
277587,13-07-2021,
277753,13-07-2021,16-07-2021
278101,13-07-2021,13-07-2021
279996,13-07-2021,
280112,13-07-2021,
280308,13-07-2021,
281945,13-07-2021,
282288,13-07-2021,
282714,13-07-2021,
282875,13-07-2021,
282968,13-07-2021,
283356,13-07-2021,13-07-2021
284267,13-07-2021,
284306,13-07-2021,18-07-2021
284334,13-07-2021,13-07-2021
284458,13-07-2021,
286105,14-07-2021,
286841,14-07-2021,
287333,14-07-2021,14-07-2021
287438,14-07-2021,
288116,14-07-2021,
288597,14-07-2021,
289058,14-07-2021,
290509,14-07-2021,
290661,14-07-2021,18-07-2021
290801,14-07-2021,21-07-2021
292152,14-07-2021,14-07-2021
292188,14-07-2021,23-07-2021
292910,14-07-2021,20-07-2021
293195,14-07-2021,25-07-2021
293655,14-07-2021,
294503,15-07-2021,15-07-2021
294507,15-07-2021,
295603,15-07-2021,15-07-2021
296223,15-07-2021,
296456,15-07-2021,14-07-2021
296984,15-07-2021,
297189,15-07-2021,
297321,15-07-2021,16-07-2021
297375,15-07-2021,25-07-2021
297377,15-07-2021,
297614,15-07-2021,15-07-2021
297836,15-07-2021,15-07-2021
297871,15-07-2021,14-07-2021
297888,15-07-2021,
298006,15-07-2021,
299037,15-07-2021,
299540,15-07-2021,
299833,15-07-2021,27-07-2021
